0|Abbot|Crater, craters
0|Brayley|Crater, craters
0|Bredikhin|Crater, craters
0|Breislak|Crater, craters
0|Brenner|Crater, craters
0|Brewster|Crater, craters
0|Brianchon|Crater, craters
0|Bridge|Landing site name
0|Bridgman|Crater, craters
0|Briggs|Crater, craters
0|Brisbane|Crater, craters
0|Bronk|Crater, craters
0|Brouwer|Crater, craters
0|Brown|Crater, craters
0|Bruce|Crater, craters
0|Brunner|Crater, craters
0|Buch|Crater, craters
0|Buffon|Crater, craters
0|Buisson|Crater, craters
3|Bullialdus|Crater, craters|1
0|Bunsen|Crater, craters
0|Burckhardt|Crater, craters
0|Burnham|Crater, craters
0|Butlerov|Crater, craters
0|Buys Ballot|Crater, craters
0|Byrd|Crater, craters
0|Byrgius|Crater, craters
0|Bela|Crater, craters
0|Burg|Crater, craters
0|Busching|Crater, craters
0|C  Herschel|Crater, craters
0|C  Mayer|Crater, craters
0|Cabannes|Crater, craters
0|Cabeus|Crater, craters
0|Cailleux|Crater, craters
0|Cajal|Crater, craters
0|Cajori|Crater, craters
0|Calippus|Crater, craters
0|Cameron|Crater, craters
0|Campanus|Crater, craters
0|Campbell|Crater, craters
0|Cannizzaro|Crater, craters
0|Cannon|Crater, craters
0|Cantor|Crater, craters
0|Capella|Crater, craters
0|Capuanus|Crater, craters
0|Cardanus|Crater, craters
0|Carlini|Crater, craters
0|Carlos|Crater, craters
0|Carmichael|Crater, craters
0|Carnot|Crater, craters
0|Carol|Crater, craters
0|Carpenter|Crater, craters
0|Carrel|Crater, craters
0|Carrillo|Crater, craters
0|Carrington|Crater, craters
0|Cartan|Crater, craters
0|Carver|Crater, craters
0|Casatus|Crater, craters
0|Cassegrain|Crater, craters
3|Cassini|Crater, craters|1
0|Catalan|Crater, craters
0|Catena Abulfeda|Catena, catenae
0|Catena Artamonov|Catena, catenae
0|Catena Brigitte|Catena, catenae
0|Catena Davy|Catena, catenae
0|Catena Dziewulski|Catena, catenae
0|Catena Gregory|Catena, catenae
0|Catena Humboldt|Catena, catenae
0|Catena Krafft|Catena, catenae
0|Catena Kurchatov|Catena, catenae
0|Catena Leuschner  GDL|Catena, catenae
0|Catena Littrow|Catena, catenae
0|Catena Lucretius  RNII|Catena, catenae
0|Catena Mendeleev|Catena, catenae
0|Catena Michelson  GIRD|Catena, catenae
0|Catena Pierre|Catena, catenae
0|Catena Sumner|Catena, catenae
0|Catena Sylvester|Catena, catenae
0|Catena Taruntius|Catena, catenae
0|Catena Timocharis|Catena, catenae
0|Catena Yuri|Catena, catenae
1|Catharina|Crater, craters|1
2|Cauchy|Crater, craters
0|Cavalerius|Crater, craters
0|Cavendish|Crater, craters
0|Caventou|Crater, craters
0|Cayley|Crater, craters
0|Celsius|Crater, craters
2|Censorinus|Crater, craters
0|Cepheus|Crater, craters
0|Chacornac|Crater, craters
0|Chadwick|Crater, craters
0|Chaffee|Crater, craters
0|Challis|Crater, craters
0|Chalonge|Crater, craters
0|Chamberlin|Crater, craters
0|Champollion|Crater, craters
0|Chandler|Crater, craters
0|Chang Heng|Crater, craters
0|Chang Ngo|Crater, craters
0|Chant|Crater, craters
0|Chaplygin|Crater, craters
0|Chapman|Crater, craters
0|Chappe|Crater, craters
0|Chappell|Crater, craters
0|Charles|Crater, craters
0|Charlier|Crater, craters
0|Chaucer|Crater, craters
0|Chauvenet|Crater, craters
0|Chebyshev|Crater, craters
0|Chernyshev|Crater, craters
0|Chevallier|Crater, craters
0|Ching Te|Crater, craters
0|Chladni|Crater, craters
0|Vallis Christel|Vallis, valles
0|Chretien|Crater, craters
0|Cichus|Crater, craters
0|Clairaut|Crater, craters
0|Clark|Crater, craters
0|Clausius|Crater, craters
3|Clavius|Crater, craters|1
1|Cleomedes|Crater, craters|1
0|Cleostratus|Crater, craters
0|Clerke|Crater, craters
0|Coblentz|Crater, craters
0|Cochise|Landing site name
0|Cockcroft|Crater, craters
0|Collins|Crater, craters
0|Colombo|Crater, craters
0|Compton|Crater, craters
0|Comrie|Crater, craters
0|Comstock|Crater, craters
0|Condon|Crater, craters
0|Condorcet|Crater, craters
0|Congreve|Crater, craters
0|Conon|Crater, craters
0|Cook|Crater, craters
0|Cooper|Crater, craters
1|Copernicus|Crater, craters|1
0|Cori|Crater, craters
0|Coriolis|Crater, craters
0|Couder|Crater, craters
0|Coulomb|Crater, craters
0|Courtney|Crater, craters
0|Cremona|Crater, craters
0|Crile|Crater, craters
0|Crocco|Crater, craters
0|Crommelin|Crater, craters
0|Crookes|Crater, craters
0|Crozier|Crater, craters
2|Cruger|Crater, craters
0|Ctesibius|Crater, craters
0|Curie|Crater, craters
0|Curtis|Crater, craters
0|Curtius|Crater, craters
0|Cusanus|Crater, craters
0|Cuvier|Crater, craters
0|Cyrano|Crater, craters
1|Cyrillus|Crater, craters|1
0|Cysatus|Crater, craters
0|da Vinci|Crater, craters
0|Daedalus|Crater, craters
0|Dag|Crater, craters
0|Daguerre|Crater, craters
0|Dale|Crater, craters
0|Dalton|Crater, craters
0|Daly|Crater, craters
0|Damoiseau|Crater, craters
0|Daniell|Crater, craters
0|Danjon|Crater, craters
0|Dante|Crater, craters
0|Darney|Crater, craters
0|Darwin|Crater, craters
0|Das|Crater, craters
0|Daubree|Crater, craters
0|Davisson|Crater, craters
1|Davy|Crater, craters|2
0|Dawes|Crater, craters
0|Dawson|Crater, craters
0|De Forest|Crater, craters
0|de Gasparis|Crater, craters
0|de Gerlache|Crater, craters
0|De La Rue|Crater, craters
0|De Moraes|Crater, craters
0|De Morgan|Crater, craters
0|De Roy|Crater, craters
0|De Sitter|Crater, craters
0|De Vico|Crater, craters
0|De Vries|Crater, craters
0|Debes|Crater, craters
0|Debus|Crater, craters
0|Debye|Crater, craters
0|Dechen|Crater, craters
0|Delambre|Crater, craters
0|Delaunay|Crater, craters
0|Delia|Crater, craters
0|Delisle|Crater, craters
0|Dellinger|Crater, craters
0|Delmotte|Crater, craters
0|Delporte|Crater, craters
0|Deluc|Crater, craters
0|Dembowski|Crater, craters
0|Democritus|Crater, craters
0|Demonax|Crater, craters
0|Denning|Crater, craters
0|Desargues|Crater, craters
0|Descartes|Crater, craters
0|Deseilligny|Crater, craters
0|Deslandres|Crater, craters
0|Deutsch|Crater, craters
0|Dewar|Crater, craters
0|Diana|Crater, craters
0|Diderot|Crater, craters
0|Dionysius|Crater, craters
0|Diophantus|Crater, craters
0|Dirichlet|Crater, craters
0|Dobrovol skiy|Crater, craters
0|Doerfel|Crater, craters
0|Dollond|Crater, craters
0|Donati|Crater, craters
0|Donna|Crater, craters
0|Donner|Crater, craters
0|Doppelmayer|Crater, craters
0|Doppler|Crater, craters
0|Dorsa Aldrovandi|Dorsum, dorsa
0|Dorsa Andrusov|Dorsum, dorsa
0|Dorsa Argand|Dorsum, dorsa
0|Dorsa Barlow|Dorsum, dorsa
0|Dorsa Burnet|Dorsum, dorsa
0|Dorsa Cato|Dorsum, dorsa
0|Dorsa Dana|Dorsum, dorsa
0|Einstein|Crater, craters
0|Einthoven|Crater, craters
0|Elger|Crater, craters
0|Ellerman|Crater, craters
0|Ellison|Crater, craters
0|Dorsa Ewing|Dorsum, dorsa
0|Dorsa Geikie|Dorsum, dorsa
0|Dorsa Harker|Dorsum, dorsa
2|Dorsa Lister|Dorsum, dorsa
0|Dorsa Mawson|Dorsum, dorsa
0|Dorsa Rubey|Dorsum, dorsa
2|Dorsa Smirnov|Dorsum, dorsa
0|Dorsa Sorby|Dorsum, dorsa
0|Dorsa Stille|Dorsum, dorsa
0|Dorsa Tetyaev|Dorsum, dorsa
0|Dorsa Whiston|Dorsum, dorsa
0|Dorsum Arduino|Dorsum, dorsa
0|Dorsum Azara|Dorsum, dorsa
0|Dorsum Bucher|Dorsum, dorsa
0|Dorsum Buckland|Dorsum, dorsa
0|Dorsum Cayeux|Dorsum, dorsa
0|Dorsum Cloos|Dorsum, dorsa
0|Dorsum Cushman|Dorsum, dorsa
0|Dorsum Gast|Dorsum, dorsa
0|Dorsum Grabau|Dorsum, dorsa
0|Dorsum Guettard|Dorsum, dorsa
0|Dorsum Heim|Dorsum, dorsa
0|Dorsum Higazy|Dorsum, dorsa
0|Dorsum Nicol|Dorsum, dorsa
0|Dorsum Niggli|Dorsum, dorsa
0|Dorsum Oppel|Dorsum, dorsa
0|Dorsum Owen|Dorsum, dorsa
0|Dorsum Scilla|Dorsum, dorsa
0|Dorsum Termier|Dorsum, dorsa
0|Dorsum Thera|Dorsum, dorsa
0|Dorsum Von Cotta|Dorsum, dorsa
0|Dorsum Zirkel|Dorsum, dorsa
0|Douglass|Crater, craters
0|Dove|Crater, craters
0|Draper|Crater, craters
0|Drebbel|Crater, craters
0|Dreyer|Crater, craters
0|Drude|Crater, craters
0|Dryden|Crater, craters
0|Drygalski|Crater, craters
0|Dubyago|Crater, craters
0|Dufay|Crater, craters
0|Dugan|Crater, craters
0|Dune|Landing site name
0|Dunthorne|Crater, craters
0|Duner|Crater, craters
0|Dyson|Crater, craters
0|Dziewulski|Crater, craters
0|d Alembert|Crater, craters
0|D Arrest|Crater, craters
0|D Arsonval|Crater, craters
0|Earthlight|Landing site name
0|Eckert|Crater, craters
0|Eddington|Crater, craters
0|Edison|Crater, craters
0|Edith|Crater, craters
0|Egede|Crater, craters
0|Ehrlich|Crater, craters
0|Eichstadt|Crater, craters
0|Eijkman|Crater, craters
0|Eimmart|Crater, craters
0|Elmer|Crater, craters
0|Elvey|Crater, craters
0|Emden|Crater, craters
0|Emory|Landing site name
0|Encke|Crater, craters
0|End|Landing site name
1|Endymion|Crater, craters|1
0|Engel gardt  Engelhardt|Crater, craters
0|Epigenes|Crater, craters
0|Epimenides|Crater, craters
1|Eratosthenes|Crater, craters|1
0|Erro|Crater, craters
0|Esclangon|Crater, craters
0|Esnault Pelterie|Crater, craters
0|Espin|Crater, craters
0|Euclides|Crater, craters
0|Euctemon|Crater, craters
1|Eudoxus|Crater, craters|1
0|Euler|Crater, craters
0|Evans|Crater, craters
0|Evdokimov|Crater, craters
0|Evershed|Crater, craters
0|Ewen|Crater, craters
0|Eotvos|Crater, craters
0|Fabbroni|Crater, craters
1|Fabricius|Crater, craters|2
0|Fabry|Crater, craters
0|Fahrenheit|Crater, craters
0|Fairouz|Crater, craters
0|Falcon|Landing site name
0|Family Mountain|Landing site name
0|Faraday|Crater, craters
0|Faustini|Crater, craters
0|Fauth|Crater, craters
0|Faye|Crater, craters
0|Fechner|Crater, craters
0|Fedorov|Crater, craters
0|Felix|Crater, craters
0|Feoktistov|Crater, craters
0|Fermat|Crater, craters
0|Fermi|Crater, craters
0|Fernelius|Crater, craters
0|Fersman|Crater, craters
0|Fesenkov|Crater, craters
2|Feuillee|Crater, craters
0|Finsch|Crater, craters
0|Finsen|Crater, craters
0|Firmicus|Crater, craters
0|Firsov|Crater, craters
0|Fischer|Crater, craters
0|Fitzgerald|Crater, craters
0|Fizeau|Crater, craters
0|Flammarion|Crater, craters
0|Flamsteed|Crater, craters
0|Flank|Landing site name
0|Fleming|Crater, craters
0|Florensky|Crater, craters
0|Focas|Crater, craters
0|Fontana|Crater, craters
0|Fontenelle|Crater, craters
0|Foster|Crater, craters
0|Foucault|Crater, craters
0|Fourier|Crater, craters
0|Fowler|Crater, craters
0|Fox|Crater, craters
1|Fra Mauro|Crater, craters|2
1|Fracastorius|Crater, craters|1
0|Franck|Crater, craters
0|Franklin|Crater, craters
0|Franz|Crater, craters
0|Fraunhofer|Crater, craters
0|Fredholm|Crater, craters
0|Freud|Crater, craters
0|Freundlich|Crater, craters
0|Fridman  Friedmann|Crater, craters
0|Froelich|Crater, craters
0|Frost|Crater, craters
0|Fryxell|Crater, craters
1|Furnerius|Crater, craters|2
0|Fenyi|Crater, craters
0|G  Bond|Crater, craters
0|Gadomski|Crater, craters
0|Gagarin|Crater, craters
0|Galen|Crater, craters
0|Galilaei|Crater, craters
0|Galle|Crater, craters
0|Galois|Crater, craters
0|Galvani|Crater, craters
0|Gambart|Crater, craters
0|Gamow|Crater, craters
0|Ganskiy  Hansky|Crater, craters
0|Ganswindt|Crater, craters
0|Garavito|Crater, craters
0|Gardner|Crater, craters
1|Gassendi|Crater, craters|1
0|Gaston|Crater, craters
0|Gaudibert|Crater, craters
0|Gauricus|Crater, craters
0|Gauss|Crater, craters
0|Gavrilov|Crater, craters
0|Gay Lussac|Crater, craters
0|Geber|Crater, craters
0|Geiger|Crater, craters
0|Geissler|Crater, craters
0|Horrocks|Crater, craters
0|Geminus|Crater, craters
1|Gemma Frisius|Crater, craters|2
0|Gerard|Crater, craters
0|Gerasimovich|Crater, craters
0|Gernsback|Crater, craters
0|Gibbs|Crater, craters
0|Gilbert|Crater, craters
0|Gill|Crater, craters
0|Ginzel|Crater, craters
0|Gioja|Crater, craters
0|Giordano Bruno|Crater, craters
0|Glaisher|Crater, craters
0|Glauber|Crater, craters
0|Glazenap|Crater, craters
0|Glushko|Crater, craters
0|Goclenius|Crater, craters
0|Goddard|Crater, craters
0|Godin|Crater, craters
0|Goldschmidt|Crater, craters
0|Golgi|Crater, craters
0|Golitsyn|Crater, craters
0|Golovin|Crater, craters
0|Goodacre|Crater, craters
0|Gould|Crater, craters
0|Grace|Crater, craters
0|Grachev|Crater, craters
0|Graff|Crater, craters
0|Grave|Crater, craters
0|Greaves|Crater, craters
0|Green|Crater, craters
0|Gregory|Crater, craters
0|Grigg|Crater, craters
3|Grimaldi|Crater, craters|1
0|Grissom|Crater, craters
0|Grotrian|Crater, craters
0|Grove|Crater, craters
0|Gruemberger|Crater, craters
0|Hornsby|Crater, craters
0|Gruithuisen|Crater, craters
0|Guericke|Crater, craters
0|Guillaume|Crater, craters
0|Hortensius|Crater, craters
0|Houtermans|Crater, craters
0|Gullstrand|Crater, craters
0|Gum|Crater, craters
0|Gutenberg|Crater, craters
0|Guthnick|Crater, craters
0|Guyot|Crater, craters
0|Gylden|Crater, craters
0|Gartner|Crater, craters
0|H  G  Wells|Crater, craters
0|Hagecius|Crater, craters
0|Hagen|Crater, craters
0|Hahn|Crater, craters
0|Haidinger|Crater, craters
2|Hainzel|Crater, craters
0|Haldane|Crater, craters
0|Hale|Crater, craters
0|Hall|Crater, craters
0|Halley|Crater, craters
0|Halo|Landing site name
0|Hamilton|Crater, craters
0|Hanno|Crater, craters
0|Hansen|Crater, craters
0|Hansteen|Crater, craters
0|Harden|Crater, craters
0|Harding|Crater, craters
0|Haret|Crater, craters
0|Hargreaves|Crater, craters
0|Harkhebi|Crater, craters
0|Harlan|Crater, craters
0|Harold|Crater, craters
0|Harpalus|Crater, craters
0|Harriot|Crater, craters
0|Hartmann|Crater, craters
0|Hartwig|Crater, craters
0|Harvey|Crater, craters
0|Hase|Crater, craters
0|Hatanaka|Crater, craters
0|Hausen|Crater, craters
0|Hayford|Crater, craters
0|Hayn|Crater, craters
0|Healy|Crater, craters
0|Heaviside|Crater, craters
0|Hecataeus|Crater, craters
0|Hedin|Crater, craters
0|Heinrich|Crater, craters
0|Horrebow|Crater, craters
0|Houzeau|Crater, craters
0|Hubble|Crater, craters
0|Huggins|Crater, craters
0|Humason|Crater, craters
0|Humboldt|Crater, craters
0|Hume|Crater, craters
0|Heinsius|Crater, craters
0|Heis|Crater, craters
0|Helberg|Crater, craters
0|Helicon|Crater, craters
0|Hell|Crater, craters
0|Helmert|Crater, craters
0|Helmholtz|Crater, craters
0|Henderson|Crater, craters
0|Hendrix|Crater, craters
0|Henry|Crater, craters
0|Henry Freres|Crater, craters
0|Henyey|Crater, craters
0|Heraclitus|Crater, craters
3|Hercules|Crater, craters|1
0|Herigonius|Crater, craters
0|Hermann|Crater, craters
0|Hermite|Crater, craters
0|Herodotus|Crater, craters
0|Heron  Hero|Crater, craters
0|Herschel|Crater, craters
0|Hertz|Crater, craters
0|Hertzsprung|Crater, craters
0|Hesiodus|Crater, craters
0|Hess|Crater, craters
0|Hess Apollo|Landing site name
0|Hevelius|Crater, craters
0|Heymans|Crater, craters
0|Heyrovsky|Crater, craters
0|Hilbert|Crater, craters
0|Hill|Crater, craters
0|Hind|Crater, craters
1|Hippalus|Crater, craters|2
1|Hipparchus|Crater, craters|1
0|Hippocrates|Crater, craters
0|Hirayama|Crater, craters
0|Hoffmeister|Crater, craters
0|Hogg|Crater, craters
0|Hohmann|Crater, craters
0|Holden|Crater, craters
0|Holetschek|Crater, craters
0|Hommel|Crater, craters
0|Hooke|Crater, craters
0|Hopmann|Crater, craters
0|Hutton|Crater, craters
0|Huxley|Crater, craters
0|Hyginus|Crater, craters
0|Hypatia|Crater, craters
0|Hedervari|Crater, craters
0|Ian|Crater, craters
0|Ibn Battuta|Crater, craters
0|Ibn Firnas|Crater, craters
0|Ibn Yunus|Crater, craters
0|Ibn Rushd|Crater, craters
0|Icarus|Crater, craters
0|Ideler|Crater, craters
0|Idel son|Crater, craters
0|Il in|Crater, craters
0|Ina|Crater, craters
0|Index|Landing site name
0|Ingalls|Crater, craters
0|Inghirami|Crater, craters
0|Innes|Crater, craters
0|Ioffe|Crater, craters
0|Isabel|Crater, craters
0|Isaev|Crater, craters
0|Isidorus|Crater, craters
0|Isis|Crater, craters
0|Ivan|Crater, craters
0|Izsak|Crater, craters
1|J  Herschel|Crater, craters|2
0|Jackson|Crater, craters
0|Jacobi|Crater, craters
0|Jansen|Crater, craters
0|Jansky|Crater, craters
0|Janssen|Crater, craters
0|Jarvis|Crater, craters
0|Jeans|Crater, craters
0|Jehan|Crater, craters
0|Jenkins|Crater, craters
0|Jenner|Crater, craters
0|Jerik|Crater, craters
0|Joliot|Crater, craters
0|Jomo|Crater, craters
0|Jose|Crater, craters
0|Joule|Crater, craters
0|Joy|Crater, craters
0|Jules Verne|Crater, craters
0|Julienne|Crater, craters
2|Julius Caesar|Crater, craters
0|Kaiser|Crater, craters
0|Kamerlingh Onnes|Crater, craters
0|Kane|Crater, craters
0|Kant|Crater, craters
0|Kao|Crater, craters
0|Kapteyn|Crater, craters
0|Karima|Crater, craters
0|Karpinskiy|Crater, craters
0|Karrer|Crater, craters
0|Kasper|Crater, craters
0|Katchalsky|Crater, craters
0|Kathleen|Crater, craters
0|Kearons|Crater, craters
0|Keeler|Crater, craters
0|Kekule|Crater, craters
0|Keldysh|Crater, craters
1|Kepler|Crater, craters|1
0|Kepinski|Crater, craters
0|Khvol son|Crater, craters
0|Kibal chich|Crater, craters
0|Kidinnu|Crater, craters
2|Kies|Crater, craters
0|Kiess|Crater, craters
0|Kimura|Crater, craters
0|Kinau|Crater, craters
0|King|Crater, craters
0|Kira|Crater, craters
0|Kirch|Crater, craters
0|Kircher|Crater, craters
0|Kirchhoff|Crater, craters
0|Kirkwood|Crater, craters
0|Klaproth|Crater, craters
0|Klein|Crater, craters
0|Kleymenov|Crater, craters
0|Klute|Crater, craters
0|Knox Shaw|Crater, craters
0|Koch|Crater, craters
0|Kohlschutter|Crater, craters
0|Kolhorster|Crater, craters
0|Komarov|Crater, craters
0|Kondratyuk|Crater, craters
0|Konoplev|Crater, craters
0|Konstantinov|Crater, craters
0|Kopff|Crater, craters
0|Korolev|Crater, craters
0|Kosberg|Crater, craters
0|Kostinskiy|Crater, craters
0|Kovalevskaya|Crater, craters
0|Koval skiy|Crater, craters
0|Kozyrev|Crater, craters
0|Krafft|Crater, craters
0|Kramarov|Crater, craters
0|Kramers|Crater, craters
0|Krasnov|Crater, craters
0|Krasovskiy|Crater, craters
0|Kreiken|Crater, craters
0|Krieger|Crater, craters
0|Vallis Krishna|Vallis, valles
0|Krogh|Crater, craters
0|Krusenstern|Crater, craters
0|Krylov|Crater, craters
0|Kugler|Crater, craters
0|Kuiper|Crater, craters
0|Kulik|Crater, craters
0|Kundt|Crater, craters
0|Kunowsky|Crater, craters
0|Kuo Shou Ching|Crater, craters
0|Kurchatov|Crater, craters
0|Kastner|Crater, craters
0|Konig|Crater, craters
0|La Caille|Crater, craters
0|La Condamine|Crater, craters
0|La Perouse|Crater, craters
0|Lacchini|Crater, craters
0|Lacroix|Crater, craters
0|Lacus Aestatis|Lacus, lacūs
0|Lacus Autumni|Lacus, lacūs
0|Lacus Bonitatis|Lacus, lacūs
0|Lacus Doloris|Lacus, lacūs
0|Le Gentil|Crater, craters
0|Le Monnier|Crater, craters
0|Lohrmann|Crater, craters
0|Lohse|Crater, craters
0|Lacus Excellentiae|Lacus, lacūs
0|Lallemand|Crater, craters
0|Lacus Felicitatis|Lacus, lacūs
0|Lacus Gaudii|Lacus, lacūs
0|Lacus Hiemalis|Lacus, lacūs
0|Lacus Lenitatis|Lacus, lacūs
0|Lacus Luxuriae|Lacus, lacūs
3|Lacus Mortis|Lacus, lacūs|2
0|Lacus Oblivionis|Lacus, lacūs
0|Lacus Odii|Lacus, lacūs
0|Lagalla|Crater, craters
0|Lagrange|Crater, craters
0|Lalande|Crater, craters
0|Lacus Perseverantiae|Lacus, lacūs
0|Lacus Solitudinis|Lacus, lacūs
0|Lacus Somniorum|Lacus, lacūs
0|Lacus Spei|Lacus, lacūs
0|Lacus Temporis|Lacus, lacūs
0|Lacus Timoris|Lacus, lacūs
0|Lacus Veris|Lacus, lacūs
0|Lade|Crater, craters
0|Lamarck|Crater, craters
0|Lamb|Crater, craters
0|Lambert|Crater, craters
2|Lamont|Crater, craters
0|Lampland|Crater, craters
0|Lame|Crater, craters
0|Lamech|Crater, craters
0|Landau|Crater, craters
0|Lander|Crater, craters
0|Landsteiner|Crater, craters
0|Lane|Crater, craters
0|Langemak|Crater, craters
0|Langevin|Crater, craters
0|Langley|Crater, craters
0|Langmuir|Crater, craters
1|Langrenus|Crater, craters|1
0|Lansberg|Crater, craters
0|Lara|Landing site name
0|Larmor|Crater, craters
0|Lassell|Crater, craters
0|Last|Landing site name
0|Laue|Crater, craters
0|Lauritsen|Crater, craters
0|Lavoisier|Crater, craters
0|Lawrence|Crater, craters
0|Le Verrier|Crater, craters
0|Leakey|Crater, craters
0|Leavitt|Crater, craters
0|Lebedev|Crater, craters
